@RELATION imagette

@ATTRIBUTE label {Accident, Bomb, Car, Casualty, Electricity, Fire, FireBrigade, Flood, Gas, Injury, Paramedics, Person, Police, RoadBlock}
@ATTRIBUTE RatioBW_Global numeric
@ATTRIBUTE NbLinesBlackPixels_Global numeric
@ATTRIBUTE NbColsBlackPixels_Global numeric
@ATTRIBUTE HoughLines_Global numeric
@ATTRIBUTE HoughCircles_Global numeric
@ATTRIBUTE BoundingBoxNumber_Global numeric
@ATTRIBUTE GravityCenterX_Global numeric
@ATTRIBUTE GravityCenterY_Global numeric
@ATTRIBUTE CannyEdges_Global numeric
@ATTRIBUTE HWRatio_Global numeric
@ATTRIBUTE RatioBW_00 numeric
@ATTRIBUTE NbLinesBlackPixels_00 numeric
@ATTRIBUTE NbColsBlackPixels_00 numeric
@ATTRIBUTE HoughLines_00 numeric
@ATTRIBUTE HoughCircles_00 numeric
@ATTRIBUTE BoundingBoxNumber_00 numeric
@ATTRIBUTE GravityCenterX_00 numeric
@ATTRIBUTE GravityCenterY_00 numeric
@ATTRIBUTE CannyEdges_00 numeric
@ATTRIBUTE RatioBW_01 numeric
@ATTRIBUTE NbLinesBlackPixels_01 numeric
@ATTRIBUTE NbColsBlackPixels_01 numeric
@ATTRIBUTE HoughLines_01 numeric
@ATTRIBUTE HoughCircles_01 numeric
@ATTRIBUTE BoundingBoxNumber_01 numeric
@ATTRIBUTE GravityCenterX_01 numeric
@ATTRIBUTE GravityCenterY_01 numeric
@ATTRIBUTE CannyEdges_01 numeric
@ATTRIBUTE RatioBW_02 numeric
@ATTRIBUTE NbLinesBlackPixels_02 numeric
@ATTRIBUTE NbColsBlackPixels_02 numeric
@ATTRIBUTE HoughLines_02 numeric
@ATTRIBUTE HoughCircles_02 numeric
@ATTRIBUTE BoundingBoxNumber_02 numeric
@ATTRIBUTE GravityCenterX_02 numeric
@ATTRIBUTE GravityCenterY_02 numeric
@ATTRIBUTE CannyEdges_02 numeric
@ATTRIBUTE RatioBW_10 numeric
@ATTRIBUTE NbLinesBlackPixels_10 numeric
@ATTRIBUTE NbColsBlackPixels_10 numeric
@ATTRIBUTE HoughLines_10 numeric
@ATTRIBUTE HoughCircles_10 numeric
@ATTRIBUTE BoundingBoxNumber_10 numeric
@ATTRIBUTE GravityCenterX_10 numeric
@ATTRIBUTE GravityCenterY_10 numeric
@ATTRIBUTE CannyEdges_10 numeric
@ATTRIBUTE RatioBW_11 numeric
@ATTRIBUTE NbLinesBlackPixels_11 numeric
@ATTRIBUTE NbColsBlackPixels_11 numeric
@ATTRIBUTE HoughLines_11 numeric
@ATTRIBUTE HoughCircles_11 numeric
@ATTRIBUTE BoundingBoxNumber_11 numeric
@ATTRIBUTE GravityCenterX_11 numeric
@ATTRIBUTE GravityCenterY_11 numeric
@ATTRIBUTE CannyEdges_11 numeric
@ATTRIBUTE RatioBW_12 numeric
@ATTRIBUTE NbLinesBlackPixels_12 numeric
@ATTRIBUTE NbColsBlackPixels_12 numeric
@ATTRIBUTE HoughLines_12 numeric
@ATTRIBUTE HoughCircles_12 numeric
@ATTRIBUTE BoundingBoxNumber_12 numeric
@ATTRIBUTE GravityCenterX_12 numeric
@ATTRIBUTE GravityCenterY_12 numeric
@ATTRIBUTE CannyEdges_12 numeric
@ATTRIBUTE RatioBW_20 numeric
@ATTRIBUTE NbLinesBlackPixels_20 numeric
@ATTRIBUTE NbColsBlackPixels_20 numeric
@ATTRIBUTE HoughLines_20 numeric
@ATTRIBUTE HoughCircles_20 numeric
@ATTRIBUTE BoundingBoxNumber_20 numeric
@ATTRIBUTE GravityCenterX_20 numeric
@ATTRIBUTE GravityCenterY_20 numeric
@ATTRIBUTE CannyEdges_20 numeric
@ATTRIBUTE RatioBW_21 numeric
@ATTRIBUTE NbLinesBlackPixels_21 numeric
@ATTRIBUTE NbColsBlackPixels_21 numeric
@ATTRIBUTE HoughLines_21 numeric
@ATTRIBUTE HoughCircles_21 numeric
@ATTRIBUTE BoundingBoxNumber_21 numeric
@ATTRIBUTE GravityCenterX_21 numeric
@ATTRIBUTE GravityCenterY_21 numeric
@ATTRIBUTE CannyEdges_21 numeric
@ATTRIBUTE RatioBW_22 numeric
@ATTRIBUTE NbLinesBlackPixels_22 numeric
@ATTRIBUTE NbColsBlackPixels_22 numeric
@ATTRIBUTE HoughLines_22 numeric
@ATTRIBUTE HoughCircles_22 numeric
@ATTRIBUTE BoundingBoxNumber_22 numeric
@ATTRIBUTE GravityCenterX_22 numeric
@ATTRIBUTE GravityCenterY_22 numeric
@ATTRIBUTE CannyEdges_22 numeric

@DATA
Car, 8.19048, 0.458333, 0.48, 3, 0, 0, 0, 0, 0, 0.137143, 3.23276, 0.25, 0.155172, 0, 0, 1, 0, 0, 0, 22.8448, 1, 0.482759, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 26.7241, 0.5, 0.775862, 0, 0, 0, 0, 0, 0, 14.0086, 0.625, 0.5, 0, 0, 2, 0, 0, 0, 21.5517, 0.625, 0.448276, 0, 0, 2, 0, 0, 0, 29.9569, 1, 0.655172, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Police, 2.63985, 0.0930233, 0, 0, 0, 1, 0, 0, 0, 0.581081, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.297619, 0, 0.0416667, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7.44048, 0.357143, 0.416667, 0, 0, 1, 0, 0, 0
FireBrigade, 3.57609, 0.230769, 0.101695, 0, 0, 1, 0, 0, 0, 0.771186, 3.33333, 0.3, 0.128205, 0, 0, 2, 0, 0, 0, 16.2393, 0.8, 0.282051, 0, 0, 1, 0, 0, 0, 10.2564, 0.433333, 0.512821, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.45299, 0.0333333, 0.0512821, 0, 0, 1, 0, 0, 0, 2.30769, 0.1, 0.205128, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
Paramedics, 8.31604, 0.606557, 0.550633, 3, 1, 4, 63.3367, 76.9803, 0, 0.772152, 2.54808, 0.2, 0.134615, 0, 0, 1, 0, 0, 0, 20.1923, 0.9, 0.615385, 0, 0, 2, 0, 0, 0, 6.58654, 0.275, 0.423077, 0, 0, 1, 0, 0, 0, 2.01923, 0.1, 0.192308, 0, 0, 2, 0, 0, 0, 27.5962, 1, 0.711538, 0, 0, 2, 0, 0, 0, 26.3462, 0.8, 1, 0, 0, 1, 0, 0, 0, 3.60577, 0.475, 0.0769231, 0, 0, 1, 0, 0, 0, 10.6731, 0.475, 0.5, 0, 0, 1, 0, 0, 0, 0.288462, 0, 0.0192308, 0, 0, 1, 0, 0, 0
Car, 8.71429, 0.428571, 0.748571, 9, 0, 0, 0, 0, 0, 0.16, 0, 0, 0, 0, 0, 1, 0, 0, 0, 37.5479, 0.555556, 0.810345, 0, 0, 1, 0, 0, 0, 3.25671, 0.222222, 0.189655, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 56.8965, 0.777778, 1, 0, 0, 0, 0, 0, 0, 6.32184, 0.333333, 0.362069, 0, 0, 1, 0, 0, 0, 6.13027, 0.333333, 0.275862, 0, 0, 1, 0, 0, 0, 48.2759, 1, 0.793103, 0, 0, 1, 0, 0, 0, 3.06513, 0.333333, 0.0862069, 0, 0, 1, 0, 0, 0
Electricity, 0.303143, 0.0165289, 0.00409836, 0, 0, 0, 0, 0, 0, 0.991803, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0462963, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0462963, 0, 0, 0, 0, 2, 0, 0, 0, 0.138889, 0.0125, 0, 0, 0, 2, 0, 0, 0, 1.08025, 0.0875, 0.0864198, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Accident, 1.09346, 0.0124481, 0.0655738, 0, 0, 1, 103.513, 121.911, 0, 0.987705, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7.90124, 0.7625, 0.283951, 0, 0, 3, 0, 0, 0, 2.36111, 0.175, 0.185185, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
RoadBlock, 0.493147, 0.0371901, 0.00823045, 2, 0, 1, 0, 0, 0, 0.995885, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0617284, 0, 0, 0, 0, 2, 0, 0, 0, 4.50617, 0.1125, 0.604938, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Gas, 0.89585, 0.00743494, 0.0204918, 7, 0, 0, 0, 0, 0, 1.10246, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2.58011, 0.101124, 0.246914, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5.50701, 0.0674157, 0.703704, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5.61798, 0.0561798, 1, 0, 0, 2, 0, 0, 0
FireBrigade, 5.41202, 0.333333, 0.22619, 0, 0, 1, 36.522, 73.5054, 0, 1.67857, 6.61094, 0.617021, 0.142857, 0, 0, 1, 0, 0, 0, 11.7781, 0.87234, 0.178571, 0, 0, 1, 0, 0, 0, 3.49544, 0.234043, 0.178571, 0, 0, 1, 0, 0, 0, 10.9422, 0.319149, 0.857143, 0, 0, 1, 0, 0, 0, 21.3526, 0.808511, 0.5, 0, 0, 3, 0, 0, 0, 7.97872, 0.361702, 0.321429, 0, 0, 1, 0, 0, 0, 6.91489, 0.12766, 0.642857, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
